Japanese,English
の,of
に,To
する,To do
は,Is
を,To
が,But
と,When
年,Year
で,so
だ,Is
月,Month
も,Also
から,From
日,Day
成る,Become
こと,thing
有る,Yes
よる,According to
や,Or
など,Such
言う,To tell
日本,Japan
為,For
この,this
人,Man
その,That
まで,Until
もの,thing
へ,What
又,or
これ,this
行う,Do
よう,Yo
出来る,Can do
駅,station
国,Country
より,Than
大学,University
現在,the current
後,rear
か,Ka
線,line
ぬ,Nu
放送,broadcast
号,issue
軍,army
無い,No
部,Department
持つ,Have
所,Place
名,Name
回,Times
世界,world
時,Time
戦,War
時代,Age
東京,Tokyo
おく,deep
でも,But
呼ぶ,Call
その後,afterwards
会,Meeting
それ,It
機,Machine
会う,meet
受ける,receive
多い,Many
選手,player
場合,If
対する,Against
しかし,However
つく,Tsukuri
昭和,Showa
作品,the work
地,Ground
中,During ~
使用,use
共に,both
学校,school
語,word
彼,he
行く,go
アメリカ,America
当時,at that time
番組,program
車,car
社,Company
川,river
映画,movies
位,Rank
見る,to see
テレビ,TV set
系,system
研究,the study
町,town
東,east
存在,Existence
活動,Activities
発売,Release
他,other
出身,Birthplace
年代,Age
会社,the company
権,Right
開発,development of
分,Minutes
西,West
鉄道,Railroad
法,Law
局,Station
更に,Furthermore
のみ,only
間,while
山,Mountain
式,formula
島,island
なお,It should be noted that
可能,Possible
ドイツ,Germany
代表,representative
使う,use
同じ,the same
曲,Song
地域,area
作,Written
事,Thing
版,Edition
取る,take
登場,Appearance
チーム,team
世,world
時間,time
於ける,on
中心,center
大会,Tournament
多く,Many
南,South
シリーズ,series
賞,award
北,North
開始,start
フランス,France
一部,part
始める,start
平成,Heisei
知る,know
子,Child
ゲーム,game
道,the way
角,Weapon
用いる,Use
および,and
館,Hall
場,Field
体,body
世紀,century
音楽,musics
参加,Participation
発表,Announcement
記録,Record
掛ける,Hang
高い,high
利用,Use
際,When
出場,Participation
国際,international
リーグ,league
所属,Belongs
務める,serve
関係,Relationship
考える,Think
イギリス,England
生まれる,to be born
入る,enter
度,Every time
州,state
全て,all
明治,Meiji
生,Living
点,point
力,Power
良い,good
だけ,Only
王,king
試合,match
得る,obtain
優勝,Winner
都市,city
含む,Including
アルバム,album
込む,Get in
問題,problem
シーズン,Season
開催,Held
大阪,Osaka
位置,position
監督,directed by
上,Up
主,main
設置,Installation
郡,county
戦争,war
物,Stuff
艦,Ship
地方,Rural
隊,Corps
期,Period
城,castle
にて,At
長,Long
計画,plan
番,Turn
必要,necessary
出す,put out
一般,General
変更,Change
本,Book
中央,Central
関する,Related
出る,Get out
出演,Appearance
作る,create
基,Basic
事業,business
委員,Committee member
バス,bus
市,city
以下,Less than
社会,society
教育,education
事件,Incident
特に,in particular
卒業,graduate
役,Role
当初,Initially
結果,result
選挙,election
機関,organ
大きい,large
高等,Higher
獲得,Acquired
政府,government
戦う,fight
中国,China
最初,the first
設立,Established
置く,Put
種,seed
金,Money
建設,construction
派,Faction
続く,Continue
影響,Impact
文化,culture
科,Family
外,Outside
デビュー,debut
台,Stand
情報,information
そして,And
航空,Aviation
村,village
政治,Politics
同様,Similarly
販売,Sale
面,surface
異なる,different
担当,In charge
最も,most
寺,temple
攻撃,attack
人口,population
ながら,While
及び,as well as
区,Ward
馬,Horse
プロ,Professional
経済,Economy
付ける,wear
地区,district
与える,give away
それぞれ,Respectively
年間,Year
水,water
構成,Constitution
路線,Route
射る,shoot
アメリカ合衆国,United States of America
米,Rice
採用,Recruitment
伴う,Accompany
主義,Principle
上げる,increase
グループ,group
女性,Woman
手,hand
システム,system
歴史,history
意味,meaning
一方,on the other hand
元,Former
県,Prefecture
続ける,to continue
技術,Technology
当たる,Hit
うち,home
海軍,Navy
公,public
発生,Occurrence
製造,Manufacturing
自身,Self
車両,vehicle
光,light
話,Story
野球,baseball
調査,Research
船,ship
シングル,single
勝,Win
列車,train
正,Positive
父,father
活躍,Active
省,Ministry
終了,End
文,Sentence
初,First
全国,Nationwide
収録,Recording
人物,person
ロシア,Russia
渡る,Cross
制作,Production
就任,Inauguration
最後,last
書く,write
下,under
エンジン,engine
状態,Status
かつて,Once
形,form
殆んど,Mostly
橋,bridge
決定,Decision
経る,Go through
組織,Organization
イタリア,Italy
朝,Morning
帝国,Empire
生産,production
果たす,Fulfill
株式,stock
海,Ocean
神,God
年度,year
モデル,model
描く,Draw
道路,road
制,System
次,Next
